room, row, col
4101, 103, 99
4102, 103, 113
4103, 103, 124
4104, 103, 128
4105, 103, 138
4106, 103, 142
4107, 117, 135
4108, 111, 128
4109, 120, 89
4110, 123, 81
4111, 126, 89
4112, 144, 89
4113, 152, 81
4114, 166, 89
4115, 174, 81
4116, 179, 81
4117, 190, 81
4118, 188, 89
4119, 194, 81
4120, 210, 89
4121, 221, 85
4121, 239, 45
4122, 207, 76
4123, 207, 72
4124, 207, 64
4125, 199, 64
4126, 207, 40
4127, 207, 36
4128, 226, 31
4129, 230, 31
4130, 246, 31
4131, 268, 31
4132, 290, 31
4133, 268, 23
4134, 254, 23
4135, 232, 23
4136, 210, 23
4137, 194, 31
4138, 188, 23
4139, 187, 31
4140, 183, 31
4141, 172, 31
4142, 168, 31
4143, 166, 23
4144, 150, 31
4145, 146, 31
4146, 144, 23
4147, 135, 31
4148, 130, 31
4149, 128, 23
4150, 45, 42
4151, 42, 45
4152, 45, 59
4153, 50, 89
4154, 55, 89
4155, 64, 89
4156, 70, 89
4157, 70, 81
4158, 76, 81
4159, 86, 81
4160, 92, 81
4161, 111, 48
41E9, 111, 79
41T9, 111, 95
Freight elevator, 111, 72
north stairs, 113, 147
east stairs, 290, 23
41T1, 161, 31
41E1, 161, 38
41T2, 87, 34
41E2, 94, 34
41J1, 103, 27
main stairs, 70, 34
main elevator, 78, 32
women's bathroom, 66, 49
women's staff bathroom, 62, 49
men's bathroom, 90, 49
men's staff bathroom, 94, 49
5-to-4 escalator, 62, 15
4-to-3 escalator, 62, 20
3-to-4 escalator, 94, 15
4-to-5 escalator, 94, 20
